astraweave-physics/src/destruction.rs:136:36: replace - with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:136:36: replace - with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:136:42: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:136:42: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:137:40: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:137:40: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:140:35: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:140:35: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:140:51: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:140:51: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:140:60: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:140:60: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:141:35: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:141:35: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:141:44: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:141:44: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:142:35: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:142:35: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:142:51: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:142:51: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:142:60: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:142:60: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:146:17: delete field shape from struct DebrisConfig expression in FracturePattern::radial
astraweave-physics/src/destruction.rs:147:36: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:147:36: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:149:17: delete field local_position from struct DebrisConfig expression in FracturePattern::radial
astraweave-physics/src/destruction.rs:150:17: delete field mass from struct DebrisConfig expression in FracturePattern::radial
astraweave-physics/src/destruction.rs:151:17: delete field velocity_factor from struct DebrisConfig expression in FracturePattern::radial
