Found 3682 mutants to test
ok       Unmutated baseline in 113s build + 96s test
MISSED   astraweave-render/src/camera.rs:278:65: replace * with / in CameraController::update_camera in 56s build + 105s test
MISSED   astraweave-render/src/clustered.rs:20:5: replace clamp_u32 -> u32 with 0 in 58s build + 105s test
MISSED   astraweave-render/src/clustered.rs:20:5: replace clamp_u32 -> u32 with 1 in 55s build + 111s test
MISSED   astraweave-render/src/clustered.rs:43:38: replace / with % in bin_lights_cpu in 46s build + 102s test
MISSED   astraweave-render/src/clustered.rs:43:38: replace / with * in bin_lights_cpu in 58s build + 105s test
MISSED   astraweave-render/src/clustered.rs:44:18: replace / with % in bin_lights_cpu in 56s build + 106s test
MISSED   astraweave-render/src/clustered.rs:44:18: replace / with * in bin_lights_cpu in 58s build + 102s test
MISSED   astraweave-render/src/clustered.rs:44:25: replace * with + in bin_lights_cpu in 56s build + 106s test
MISSED   astraweave-render/src/clustered.rs:44:25: replace * with / in bin_lights_cpu in 59s build + 103s test
MISSED   astraweave-render/src/clustered.rs:45:17: replace / with % in bin_lights_cpu in 57s build + 113s test
MISSED   astraweave-render/src/clustered.rs:45:17: replace / with * in bin_lights_cpu in 58s build + 108s test
MISSED   astraweave-render/src/clustered.rs:46:32: replace / with % in bin_lights_cpu in 62s build + 104s test
MISSED   astraweave-render/src/clustered.rs:46:32: replace / with * in bin_lights_cpu in 56s build + 113s test
MISSED   astraweave-render/src/clustered.rs:47:33: replace / with % in bin_lights_cpu in 61s build + 103s test
MISSED   astraweave-render/src/clustered.rs:47:33: replace / with * in bin_lights_cpu in 58s build + 106s test
MISSED   astraweave-render/src/clustered.rs:54:34: replace + with - in bin_lights_cpu in 43s build + 101s test
MISSED   astraweave-render/src/clustered.rs:54:34: replace + with * in bin_lights_cpu in 60s build + 107s test
MISSED   astraweave-render/src/clustered.rs:55:25: replace > with == in bin_lights_cpu in 55s build + 109s test
MISSED   astraweave-render/src/clustered.rs:55:25: replace > with >= in bin_lights_cpu in 53s build + 102s test
MISSED   astraweave-render/src/clustered.rs:55:14: replace - with + in bin_lights_cpu in 58s build + 105s test
MISSED   astraweave-render/src/clustered.rs:55:14: replace - with / in bin_lights_cpu in 57s build + 109s test
MISSED   astraweave-render/src/clustered.rs:59:35: replace * with + in bin_lights_cpu in 57s build + 110s test
MISSED   astraweave-render/src/clustered.rs:59:35: replace * with / in bin_lights_cpu in 58s build + 110s test
MISSED   astraweave-render/src/clustered.rs:59:30: replace / with % in bin_lights_cpu in 56s build + 109s test
MISSED   astraweave-render/src/clustered.rs:60:35: replace * with + in bin_lights_cpu in 44s build + 107s test
MISSED   astraweave-render/src/clustered.rs:62:38: replace * with + in bin_lights_cpu in 45s build + 102s test
MISSED   astraweave-render/src/clustered.rs:62:25: replace * with + in bin_lights_cpu in 43s build + 106s test
MISSED   astraweave-render/src/clustered.rs:63:38: replace * with + in bin_lights_cpu in 43s build + 99s test
MISSED   astraweave-render/src/clustered.rs:63:25: replace * with + in bin_lights_cpu in 43s build + 101s test
MISSED   astraweave-render/src/clustered.rs:65:41: replace * with + in bin_lights_cpu in 42s build + 99s test
